race|birth_date|isVaccinated|ownerName
Comb duck|28-08-2020|true|Etti Tesseyman
Eurasian hoopoe|30-04-2019|false|Fransisco Allcock
Yellow-throated sandgrouse|08-04-2022|true|Rafaello Daffern
Sloth bear|26-02-2020|true|Nickola Fyfe
Lizard, desert spiny|23-05-2021|true|Libbie Pizzey
Aardwolf|28-03-2017|true|Trudey Byneth
Lilac-breasted roller|10-05-2022|false|Hestia Candie
Asian water dragon|01-02-2017|true|Neille Ballintyne
Antelope, four-horned|21-09-2022|true|Geralda Brocklesby
Crab, red lava|14-12-2021|true|Alfy Labram
Lappet-faced vulture|07-12-2019|false|Kizzee Laterza
Deer, mule|05-06-2018|true|Sandor Liversage
Sea birds (unidentified)|05-05-2022|true|Urban Pynn
Cockatoo, sulfur-crested|11-02-2018|false|Weber O' Donohoe
Knob-nosed goose|18-06-2017|false|Jobyna Tremaine
Mountain goat|11-12-2019|true|Jacklin Doerrling
Common duiker|20-01-2018|false|Gretel Skipp
Cow, scottish highland|06-10-2021|true|Merle Stanlick
River wallaby|23-12-2020|true|Carolynn Eseler
Hyrax|28-11-2019|false|Brian Rainger
American crow|29-05-2021|false|Sal Arthurs
Common long-nosed armadillo|02-11-2019|false|Janessa Doreward
Gerenuk|21-03-2021|false|Harbert Middleditch
Goanna lizard|02-07-2018|true|Park Packe
Phalarope, red-necked|17-09-2018|true|Janos Billingham
Wolf, timber|07-04-2022|false|Pren Bibbie
White-winged tern|01-10-2017|false|Julius Parris
Sally lightfoot crab|20-11-2018|true|Philis Minelli
Crane, wattled|26-07-2016|true|Burl Tippings
Zorro, common|15-02-2022|true|Hildegarde Schirok
Common wombat|23-05-2019|false|Lazarus Levi
Asian foreset tortoise|03-06-2018|true|Keary Verna
Tasmanian devil|12-04-2020|true|Patrice Ouslem
Catfish, blue|08-06-2020|false|Jamesy Holme
Caracal|16-12-2015|true|Josy Cuzen
Hyrax|08-09-2016|true|Simona Menaul
Asian water dragon|18-07-2016|false|Winnie Bengoechea
Spider, wolf|29-04-2022|true|Saundra Landells
Blue duck|27-04-2018|true|Devlin Scotchmur
Chameleon (unidentified)|16-09-2022|false|Alejandra Beecraft
Mexican boa|23-07-2022|true|Elvyn Gonzalez
Pied cormorant|12-12-2021|false|Lucky Ruddy
Weeper capuchin|12-04-2016|true|Netty Diamond
Bengal vulture|26-01-2017|false|Nesta Carbry
Red-billed toucan|17-10-2018|false|Michel Yockley
Little cormorant|31-07-2021|true|Christoper Boast
Indian jackal|31-08-2019|true|Robina Rawdales
Crown of thorns starfish|19-05-2020|false|Jarad Swetenham
White-fronted bee-eater|19-10-2019|false|Dannie Belchamber
Waterbuck, common|21-08-2020|true|Fionnula Packman
Common turkey|15-03-2016|false|Myrtle Applin
Skink, african|06-09-2017|true|Temple Dumbar
Eurasian badger|31-03-2019|false|Arni Titley
Wildebeest, blue|23-10-2015|false|Fairfax Juckes
Indian giant squirrel|06-03-2019|true|Isacco Reinhart
South American meadowlark (unidentified)|11-01-2022|true|Arnaldo Wathey
Purple grenadier|25-12-2020|true|Vidovik Charrett
Blue fox|02-07-2018|false|Alain Trimme
Caracara, yellow-headed|18-08-2018|false|Berne Dietsche
Asian false vampire bat|19-11-2018|false|Bendicty Kindread
Large-eared bushbaby|24-04-2019|false|Zita Ponte
Duiker, gray|24-08-2019|true|Kinsley Wittke
Falcon, prairie|01-12-2015|true|Steven Crippell
Cat, toddy|09-12-2019|true|Babs Claremont
Paca|17-12-2016|true|Aron Crossland
Coot, red-knobbed|29-01-2018|true|Merralee Pallister
Duck, white-faced whistling|21-07-2019|false|Josias Garatty
Black-eyed bulbul|22-09-2019|true|Seymour Selby
Civet (unidentified)|08-06-2021|false|Serena Boyall
Black-footed ferret|26-12-2019|false|Jethro Matkin
Red-billed toucan|19-02-2017|false|Kimball Ilott
Woylie|10-04-2018|false|Fee Patesel
Black-backed jackal|12-08-2018|true|Nicola Cuckson
Ocelot|23-12-2017|true|Emyle Pawelczyk
Badger, honey|16-05-2022|true|Carolynn Kingdon
Galapagos tortoise|08-06-2022|false|Reggi Vogt
Brazilian otter|24-08-2018|true|Karol Giacaponi
Blue waxbill|19-04-2017|false|Lona Gallaccio
Bear, black|04-12-2020|false|Ilaire Grube
Deer, mule|25-05-2017|false|Roxy Coulman
Blue-faced booby|26-05-2022|true|Darla Tonkes
Boa, malagasy ground|19-04-2022|false|Ronnie Le Breton
Armadillo, seven-banded|08-01-2020|false|Bill Gotcher
Sulfur-crested cockatoo|26-06-2019|true|Sheffy Hollyard
Red-necked wallaby|08-08-2017|false|Dode Cheng
Snake, carpet|09-06-2016|true|Ursuline Birckmann
Shark, blue|30-11-2015|false|Lyndsie Guisot
Snake, carpet|18-11-2019|false|Cari Bonnaire
Southern black-backed gull|01-11-2017|true|Jolyn Ipwell
Azara's zorro|28-06-2016|false|Sean Lukins
African wild dog|17-01-2021|false|Lou Spowage
Toucan, white-throated|12-05-2016|false|Margy Dibben
White stork|24-11-2020|false|Donavon Blackmore
Common langur|25-03-2020|true|Marilin Berkery
Tamandua, southern|08-01-2016|false|Harland Currm
Cockatoo, roseate|04-03-2022|false|Tabbie Mobberley
Canadian tiger swallowtail butterfly|06-03-2016|true|Irwinn Wheldon
American woodcock|30-03-2019|false|Mahmud Jervis
Cockatoo, red-tailed|20-10-2019|true|Ricki Dengel
Bison, american|14-04-2019|false|Bartlet Clarkin
Heron, green|27-09-2022|false|Sophronia Targe
Common zorro|02-12-2015|false|Colan Gravet
Barbet, levaillant's|22-03-2022|true|Carri Peirpoint
Wallaby, euro|26-02-2020|true|Laney Abramowitch
Boa, malagasy ground|12-05-2017|true|Trev Bradshaw
Water moccasin|22-04-2017|true|Rick Meere
Pie, rufous tree|17-08-2017|true|Shayne Batters
Pale white-eye|22-12-2019|true|Jewell Staker
Yellow-brown sungazer|31-07-2016|true|Anton Absolom
Australian sea lion|08-10-2019|false|Caspar Roll
Bahama pintail|14-02-2017|false|Angelico Slocum
Coatimundi, white-nosed|15-09-2019|true|Rea Lynes
Common nighthawk|08-02-2019|true|Carrie Kees
Two-banded monitor|21-02-2017|false|Corine Brayshay
Sheep, stone|26-10-2019|true|Joycelin Fawks
Mouflon|03-09-2021|false|Rosamund Drake
Puffin, horned|16-09-2017|true|Noni Peppett
Weaver, white-browed sparrow|24-01-2018|true|Cass Whysall
Cook's tree boa|26-07-2020|false|Rosella Screaton
Bahama pintail|02-10-2017|false|Sidney Barkaway
Otter, small-clawed|09-02-2017|true|Goraud Paolicchi
Tern, white-winged black|05-09-2016|false|Pauly Potticary
Common shelduck|18-03-2016|false|Becky Sharpin
Boubou, southern|22-04-2022|true|Audry Cuffley
Hippopotamus|08-07-2018|true|Karoly Chrispin
Lizard, frilled|17-09-2017|false|Cordie Jerg
Lemur, brown|11-01-2017|true|Ronny Adshead
Hyena, striped|05-02-2016|false|Chrissy Woodyatt
Chacma baboon|02-12-2020|false|Jessika Mattersley
Yellow-headed caracara|14-06-2016|false|Davidson Heamus
Skua, great|20-07-2020|true|Eliza Tythe
Blesbok|14-08-2018|true|Alica Showalter
Gray heron|03-04-2019|true|Reinaldo McLafferty
Stork, white-necked|27-10-2017|false|Eustace Conquest
Stork, black-necked|26-10-2017|false|Brose Lundie
African wild cat|15-05-2020|false|Brendon Musprat
Silver-backed fox|02-09-2019|false|Zsazsa Chattington
Urial|30-03-2020|true|Doti Liggins
Crown of thorns starfish|23-04-2018|false|Shanda Krojn
Golden-mantled ground squirrel|02-01-2017|true|Salli Matura
Madagascar hawk owl|19-04-2021|true|Maritsa Snaddon
Phalarope, northern|17-07-2021|true|Rosana Franzetti
Rat, desert kangaroo|27-01-2019|true|Othilie Sayre
Goliath heron|29-11-2017|false|Darcy Brittlebank
Green vine snake|12-08-2018|true|Imogene Tydd
Gazelle, thomson's|13-01-2020|true|Jodi Hune
Possum, pygmy|16-12-2019|false|Arden Sprowson
Arctic ground squirrel|18-11-2016|true|Huntlee Spurgeon
Black-eyed bulbul|25-10-2017|true|Dante Bleiman
Toddy cat|10-01-2017|false|Miran Samsworth
Little heron|12-04-2016|false|Raffarty Billingham
Gray langur|08-09-2019|true|Brennan Moulsdall
Boa, columbian rainbow|11-10-2020|true|Barbabra Chinnick
Bird, black-throated butcher|31-05-2018|false|Corinne Stellman
Lizard, giant girdled|01-08-2017|false|Boonie Petrelluzzi
Northern phalarope|03-05-2017|true|Amandie Grew
Heron, yellow-crowned night|03-06-2021|false|Caren Trudgeon
Carmine bee-eater|08-09-2018|false|Lyman Wragge
Seal, harbor|25-09-2022|false|Tamra Klimochkin
Crowned hawk-eagle|02-03-2021|true|Diahann Winspar
Giant girdled lizard|24-07-2021|true|Aguste Costerd
Royal tern|03-07-2017|true|Kalie Jost
Laughing dove|26-10-2019|false|Claudina Markushkin
Violet-crested turaco|04-11-2016|true|Khalil Higgonet
Cockatoo, sulfur-crested|04-02-2017|true|Nahum Krojn
Tortoise, burmese brown mountain|14-11-2017|false|Violet Machans
Polecat, african|30-08-2016|true|Maison Bazeley
Bandicoot, long-nosed|13-08-2020|true|Venus Innott
Flamingo, greater|10-04-2018|false|Vallie Keogh
Gulls (unidentified)|19-08-2016|false|Anderson Kynge
Possum, pygmy|04-05-2019|true|Aeriela McKane
Greater blue-eared starling|01-09-2021|false|Candie Cowlas
Smith's bush squirrel|03-11-2020|false|Ingemar Hedges
Otter, canadian river|25-11-2015|true|Brewster Rogan
Roseat flamingo|31-10-2016|true|Teri Farlambe
Lion, california sea|07-05-2017|false|Carmel Woodworth
Crow, house|01-05-2016|true|Laverna Fairbrass
Pelican, brown|14-11-2021|true|Corrinne Girauld
Kirk's dik dik|08-12-2016|false|Sile Cholton
Great kiskadee|01-03-2022|false|Trenna Spatari
Tailless tenrec|28-12-2020|true|Jacky Leyman
Southern ground hornbill|02-04-2022|true|Georgina Gerwood
Sloth, pale-throated three-toed|19-03-2021|true|Eugenie Galiero
Common genet|23-03-2021|false|Courtnay Girodier
Asian elephant|18-06-2020|false|Fredek Tipens
Glider, squirrel|29-05-2019|false|Tim Blaisdell
Worm snake (unidentified)|26-01-2016|true|Theadora Springle
Sheep, stone|07-12-2017|false|Natalie O' Faherty
Royal tern|18-12-2015|true|Rudie Belfitt
Chital|09-07-2017|false|Margaretha Osbaldstone
Black-tailed prairie dog|27-11-2016|false|Leela Roscamp
Woodrat (unidentified)|09-04-2017|true|Kristien Cook
Puma|20-11-2019|false|Doria Duffell
Tortoise, galapagos|11-04-2019|true|Maribeth Deaves
Eastern grey kangaroo|16-08-2017|false|Robers Godman
Colobus, black and white|25-08-2016|true|Oralia Castillon
Lemming, collared|24-05-2019|false|Bunni Plak
Hartebeest, coke's|13-01-2019|false|Sherm Andri
Hottentot teal|08-05-2020|true|Wake Spickett
Kafue flats lechwe|28-03-2021|true|Stefanie Stonhewer
Ornate rock dragon|01-01-2019|false|Nikki Scimoni
Dragon, netted rock|05-11-2015|false|Lanita Pulfer
Agouti|21-02-2017|true|Odessa Cassimer
Bandicoot, long-nosed|11-05-2018|false|Dasha Le Galle
Squirrel glider|15-02-2019|false|Michal Manton
Bee-eater (unidentified)|06-01-2016|true|Marje Reffe
Yellow-headed caracara|25-09-2018|true|Shem Dugdale
Toddy cat|09-02-2020|false|Julietta Roskilly
Sociable weaver|13-01-2020|true|Shani Ielden
Monkey, vervet|18-11-2019|false|Timothea Barttrum
White-tailed deer|24-06-2017|true|Averil Edmeades
African ground squirrel (unidentified)|08-05-2018|false|Lilyan Lound
Pocket gopher (unidentified)|10-08-2021|false|Cyb Trahear
Ringtail cat|05-06-2020|true|Joleen Connew
Bandicoot, long-nosed|06-09-2016|false|Reider Albisser
Crake, african black|26-01-2016|false|Christina Strick
Frilled dragon|23-09-2016|true|Floris Alliker
Squirrel, eurasian red|09-12-2019|true|Siegfried Ebbrell
Wombat, common|22-12-2016|false|Marinna Harbert
Malagasy ground boa|12-11-2019|false|Cameron Chamberlen
Squirrel, palm|31-08-2017|true|Gardy Kenlin
Otter, giant|02-09-2017|true|Maureen Threlfall
Eastern box turtle|02-03-2019|false|Adriena St Quenin
Ibis, glossy|20-04-2019|false|Lombard Tizzard
Duck, white-faced whistling|14-11-2018|false|Norene Vasiliev
White-throated toucan|16-09-2018|true|Bobine Kryszka
Swan, trumpeter|01-06-2020|true|Kanya Pallas
Hyena, brown|08-08-2016|false|Ethe Coslitt
Old world fruit bat (unidentified)|11-04-2019|true|Jaime Sandwith
Sambar|18-12-2020|false|Estel Barks
Kangaroo, red|14-11-2015|false|Ricardo Arnauduc
Rhea, common|07-07-2019|false|Stacie Hourahan
Small-spotted genet|22-11-2016|false|Sisely Mee
Two-toed sloth|12-05-2021|true|Ursola Boyda
Yellow-brown sungazer|21-07-2018|true|Adiana Armes
Snake, racer|23-02-2017|true|Holt Falvey
Euro wallaby|07-07-2021|true|Corella Vasishchev
Peacock, indian|02-10-2016|false|Vincenz Dolden
Possum, pygmy|27-07-2020|false|Link Lewsie
Sheep, stone|24-04-2017|false|Darice Jackways
Whale, baleen|03-03-2018|false|Jase Theriot
Goose, cereopsis|22-12-2015|false|Hewitt Telezhkin
Goose, knob-nosed|10-09-2022|true|Nicole McQueen
Oribi|16-05-2018|false|Kliment Fermin
Bird, red-billed tropic|09-11-2018|false|Timmy Le Breton De La Vieuville
Porcupine, prehensile-tailed|19-04-2018|false|Stevana Lott
Bear, american black|06-12-2016|true|Stearne Kneafsey
Insect, stick|02-10-2020|true|Ariel Leming
Malagasy ground boa|03-11-2018|true|Dante Trubshaw
European stork|07-10-2021|false|Joellyn Castard
Goose, snow|01-07-2017|false|Theo Tyrer
Bee-eater, carmine|02-10-2018|true|Aldric Renshaw
Turkey, wild|29-09-2018|true|Othilie Thiem
Aardwolf|18-03-2017|true|Humfrey Forrest
Waterbuck, common|29-04-2020|true|Aime Seden
Boat-billed heron|09-02-2021|true|Nicoli Mewitt
Black swan|20-12-2021|true|Wait Acedo
Bustard, stanley|08-01-2018|true|Jervis Cossom
Crow, pied|23-06-2021|false|Olav Devinn
Spoonbill, white|28-01-2018|false|Bing Ayris
Woodchuck|04-09-2021|true|Geoffry Wyeth
Rufous-collared sparrow|29-04-2018|true|Consuela Slade
Caracara (unidentified)|09-05-2021|true|Ebba Sidon
Dog, black-tailed prairie|14-09-2017|true|Jeanna Grills
Galapagos albatross|04-03-2018|false|Heriberto Saxon
Hartebeest, coke's|09-11-2020|true|Pavla Johnson
Dunnart, fat-tailed|20-12-2021|true|Hubert Sanbrook
Black-faced kangaroo|07-10-2018|true|Christoph Ryder
American beaver|20-03-2018|true|Norton Cordeux
Tarantula|14-02-2017|true|Emmerich Ferrettino
Purple grenadier|12-02-2019|false|Thoma Crayden
Pelican, australian|02-03-2020|true|Ev Burstow
Red squirrel|16-01-2016|true|Renard Broe
Malagasy ground boa|03-06-2016|true|Jo-ann Steane
Gonolek, burchell's|11-05-2020|false|Julietta McLanaghan
Blackish oystercatcher|22-12-2015|false|Fraser Farey
Lion, australian sea|13-04-2018|false|Murielle Dyer
Squirrel, richardson's ground|26-12-2019|true|Lloyd Palmar
Common long-nosed armadillo|19-11-2019|false|Arlene Sappson
Ring dove|24-12-2018|true|Thorstein Mabon
Oryx, fringe-eared|25-09-2018|false|Michaella Fairebrother
Bear, american black|17-12-2016|false|Cecilio Ohanessian
Red deer|18-01-2021|false|Rachel Fordham
Kangaroo, brush-tailed rat|13-07-2022|true|Ashien Hudspith
Snow goose|14-12-2019|true|Bevvy MacCrann
Screamer, crested|11-10-2016|false|Vida Ryman
Snake-necked turtle|29-03-2016|true|Ker Cuncarr
Wallaby, red-necked|21-07-2018|true|Jobi Marder
Owl, madagascar hawk|21-03-2020|true|Daphna Paradise
Stork, marabou|29-08-2017|true|Westley Douche
Mynah, common|14-02-2017|true|Glenna Titheridge
Red kangaroo|08-09-2020|true|Leanora Manton
African ground squirrel (unidentified)|22-09-2016|false|Ogdon Hoff
Flamingo, greater|28-04-2021|true|Bertie Dowse
Common wombat|21-08-2017|false|Cesya Fike
Lizard, desert spiny|31-05-2016|true|Danie Whyteman
Falcon, peregrine|23-03-2022|true|Toma Huckstepp
Black and white colobus|12-11-2020|true|Anselm Mulqueen
Zorro, azara's|26-07-2017|true|Joshia Basilone
Squirrel, eastern fox|26-01-2018|true|Maddie Smaling
Sally lightfoot crab|14-10-2021|true|Luis Francescuzzi
Rufous tree pie|16-03-2019|false|Cam Jupe
Pelican, australian|24-03-2022|false|Dalis Paskin
Hornbill, southern ground|08-02-2017|false|Mella Coppenhall
Stilt, black-winged|13-04-2016|false|Ira Yeatman
Kite, black|30-03-2020|false|Mable Collacombe
Cape raven|18-08-2019|true|Marybelle Clilverd
Cape starling|20-01-2022|false|Wilbert Madeley
Canadian tiger swallowtail butterfly|16-07-2016|false|Vittoria Hedman
Yellow-rumped siskin|24-02-2016|true|Darci Horwell
Snake-necked turtle|22-03-2022|false|Marjory Barbisch
Bat, asian false vampire|08-02-2016|true|Jackqueline Ethington
Hawk, galapagos|17-05-2019|false|Briant Taile
Frilled lizard|22-11-2021|true|Mattheus Kenwell
Black-crowned crane|09-05-2018|true|Nevsa Mainwaring
Asian openbill|15-08-2016|true|Felecia Bowery
Jackal, asiatic|22-09-2020|true|Fancy Wordington
Francolin, swainson's|30-05-2019|false|Lissa Gadie
Racer, american|22-09-2019|true|Shir Cutajar
Malachite kingfisher|15-02-2021|true|Lowell Stanbrooke
Neotropic cormorant|14-04-2019|true|Christalle McIndrew
Dassie|25-03-2017|true|Olav McEvay
Marmot, yellow-bellied|28-02-2019|false|Reggie Filippi
Pelican, eastern white|12-12-2021|true|Evie Martusov
Black-winged stilt|16-02-2017|true|Morganne Rutledge
Greylag goose|30-06-2018|true|Davie Ferrers
Short-nosed bandicoot|15-02-2017|false|Lena Busek
Shark, blue|26-07-2022|true|Avram Bampkin
Dog, bush|02-02-2019|false|Normy Trollope
Gemsbok|21-01-2019|true|Diahann Enrico
Pale-throated three-toed sloth|08-06-2017|true|Petronia Haberjam
Gaur|21-09-2020|true|Iona Gunn
Gaur|10-12-2021|false|Avery Mellanby
Malleefowl|01-08-2016|true|Gloria Shill
Blue-faced booby|07-05-2017|false|Nannie Drever
Ground legaan|14-03-2021|false|Analiese Maudlen
Lilac-breasted roller|04-08-2018|false|Wilburt Paulo
Knob-nosed goose|11-02-2022|false|Rina Sexon
Greater adjutant stork|03-06-2019|true|Maison Rowesby
Wild boar|30-11-2021|true|Adolpho Mungham
Skunk, western spotted|26-06-2022|false|Margette Dewberry
Lapwing (unidentified)|27-07-2017|false|Valerye Lumbly
Hawk, galapagos|08-05-2021|false|Bondie Galea
Hartebeest, red|30-06-2021|false|Julieta Fauning
Squirrel, malabar|01-04-2016|true|Maryanne Carnson
Sandgrouse, yellow-throated|30-10-2020|false|Coop Huby
Boat-billed heron|25-02-2020|false|Haleigh Illwell
Eastern fox squirrel|03-12-2017|true|Fawne Holdworth
White-faced tree rat|26-03-2016|true|Taddeusz Rabier
Brown lemur|22-08-2018|false|Daron Cridlon
Gaur|01-11-2016|true|Cahra Issacof
Common wallaroo|18-01-2022|true|Jill Currington
Dove, ring|12-01-2021|false|Durant Heel
Fox, pampa gray|21-04-2019|false|Hilario Lauxmann
Andean goose|29-10-2021|true|Charmine Hands
Bee-eater, carmine|26-06-2022|true|Reidar Aleksandrov
Gecko, tokay|17-11-2021|false|Etienne Francescozzi
Sulfur-crested cockatoo|12-01-2021|true|Orrin Poulson
Columbian rainbow boa|12-10-2015|true|Iggy Cosens
Brolga crane|01-12-2018|true|Myrlene Orehead
Black-backed jackal|23-06-2022|false|Darill Spurge
Elk, Wapiti|06-12-2020|true|Jania Kennerknecht
Grey mouse lemur|27-07-2020|true|Dael Mochan
Shrike, crimson-breasted|30-04-2022|true|Berne Taffe
Red squirrel|24-11-2018|false|Dominga Leband
Starling, red-shouldered glossy|30-12-2016|false|Hailee Scheffel
Woodchuck|15-03-2021|false|Daniel Shackesby
Klipspringer|17-01-2022|false|Rici Handscomb
Crab (unidentified)|18-10-2018|true|Mathilda Brogden
Four-spotted skimmer|13-11-2018|false|Germayne Hebbs
Sandgrouse, yellow-throated|05-01-2022|true|Thorstein Gillott
Small Indian mongoose|08-06-2021|false|Mersey Woehler
Crested barbet|21-04-2022|true|Mellisa Rosellini
Flicker, campo|13-09-2017|true|Pauli Droghan
Iguana, land|20-03-2019|true|Kelsi Dreier
Skink, african|29-07-2019|false|Fawnia Scotti
Cape white-eye|07-12-2020|true|Giselbert Dewire
Seal, northern elephant|10-02-2022|true|Roseann Filippone
Badger, european|12-04-2016|false|Kellina Brim
Francolin, swainson's|02-04-2020|true|Andriette Lukianov
Grebe, little|02-01-2018|false|Winny De Nisco
Vulture, griffon|01-05-2018|true|Daloris Echalier
Badger, eurasian|07-09-2022|false|Bonita Trickey
Pine siskin|17-02-2019|false|Laura Vyse
Common genet|12-09-2017|false|Tabor Portriss
North American red fox|06-09-2021|false|Bibbye Hubbold
Water moccasin|21-08-2018|false|Franchot Szubert
Spurfowl, yellow-necked|10-08-2020|false|Edik Dowle
Eastern box turtle|09-10-2018|false|Birgitta Labon
Rhinoceros, black|28-12-2017|false|Claire De Robertis
Tapir, brazilian|23-03-2018|true|Delainey Muino
Pine squirrel|21-06-2022|true|Rosette Gammage
American black bear|02-01-2021|false|Lawrence Southeran
Bengal vulture|20-05-2016|true|Norton Eatherton
Weaver, chestnut|26-09-2018|false|Margo Harpham
White-tailed jackrabbit|14-09-2021|true|Nadean Matthewman
Goose, greylag|29-11-2021|false|Cathy Molder
Booby, blue-footed|16-07-2016|true|Benjamen McGinnis
Cockatoo, long-billed|01-08-2020|false|Willem Jakolevitch
Western spotted skunk|30-12-2019|false|Alayne Riepel
Pie, rufous tree|02-04-2022|false|Cleve Mangan
Devil, tasmanian|17-02-2019|false|Jefferey Deuss
Trumpeter swan|30-12-2017|false|Farlay Pacheco
Brazilian tapir|09-06-2017|false|Corty Mallall
Gerbil (unidentified)|30-03-2022|true|Leontyne Armistead
Greater rhea|12-02-2016|true|Sergei Tiplady
Ostrich|07-05-2017|true|Lynn Mayler
Tenrec, tailless|03-09-2022|false|Krispin Reah
American Virginia opossum|18-05-2018|true|Evonne Cant
Bandicoot, short-nosed|08-07-2019|true|Beverlie Horburgh
Greater sage grouse|22-11-2021|true|Fleur Burdett
Iguana, marine|11-06-2016|true|Zondra Leader
Peccary, collared|07-10-2017|true|Dareen Clue
Paddy heron (unidentified)|15-09-2019|true|Edna Gronav
Malabar squirrel|17-03-2019|true|Quint Juschka
Baboon, olive|04-06-2022|false|Amalea O' Neligan
Hen, sage|06-02-2021|true|Bryana Townby
White-faced tree rat|25-12-2016|true|Gabriello Geffcock
Armadillo, seven-banded|20-10-2019|true|Kora McDirmid
Raven, white-necked|20-08-2021|true|Xylina McMillian
African snake (unidentified)|16-07-2022|true|Clementia Cottu
Oryx, fringe-eared|05-04-2020|true|Nikki Ure
Slender-billed cockatoo|01-04-2021|false|Crystie McLanachan
Bengal vulture|18-03-2019|false|Imogen Fieldhouse
Badger, european|14-04-2016|false|Sue Fullerton
Black swan|20-06-2017|false|Gayelord Cockle
Egyptian viper|05-10-2015|false|Sukey Wyeld
Beaver, american|07-03-2017|true|Cyrus Skelington
Coqui partridge|30-11-2021|false|Nicoline Thurner
Galapagos mockingbird|27-08-2016|true|Cecilius Delamar
Eurasian badger|05-05-2016|true|Marnia Drust
Tern, royal|29-10-2018|false|Selinda Frances
Tinamou, elegant crested|29-11-2021|true|Myca Pakeman
Gambel's quail|16-06-2019|false|Candis Tennant
European beaver|14-06-2020|false|Adella MacLardie
Starfish, crown of thorns|03-09-2018|true|Kevan Roxbee
Screamer, southern|07-08-2016|false|Aksel Simmill
Bateleur eagle|27-10-2018|false|Arliene O'Shiel
Burchell's gonolek|13-09-2020|true|Demetra Epps
Glossy ibis|22-09-2016|false|Sherlock Burkett
Cockatoo, slender-billed|27-01-2017|false|Kassi Vanelli
Tiger cat|16-06-2016|true|Flore Pedlow
Harbor seal|09-06-2020|false|Tamas Steutly
Penguin, galapagos|01-03-2018|true|Ricca Lehrer
Coyote|05-02-2016|false|Caril Waddilove
American racer|10-01-2016|false|Kurt Farnhill
Cape clawless otter|24-06-2021|false|Berty Brunning
Common rhea|28-04-2020|true|Kev Ramsby
Ocelot|18-07-2018|true|Cherrita Wynrehame
Giraffe|09-08-2022|true|Paten Serchwell
Eurasian beaver|15-11-2020|false|Levin Crummey
Malagasy ground boa|01-07-2016|true|Parry Heeley
Fox, arctic|03-11-2019|true|Gerda Keyho
African wild cat|12-09-2016|true|Lilyan Kinglesyd
Cheetah|08-01-2016|true|Analiese Torrent
Wolf, common|05-06-2020|false|Peggy Toretta
Butterfly, tropical buckeye|23-09-2018|true|Dalli Swains
Parrot, hawk-headed|17-10-2019|false|Bendicty Guiel
Green vine snake|30-03-2019|true|Ichabod Aickin
Long-nosed bandicoot|29-10-2021|false|Meg Crannell
Galapagos sea lion|02-04-2020|false|Stillmann Gownge
Pocket gopher (unidentified)|24-08-2019|false|Dexter Gillbard
Striped dolphin|31-07-2021|true|Corney Scarffe
Indian star tortoise|07-05-2017|true|Merissa Absolom
Weeper capuchin|18-01-2019|true|Ilise Yakunkin
Macaque, japanese|30-07-2017|true|Alisun Hadgkiss
Tamandua, southern|09-08-2021|false|Monika Echalie
Openbill stork|20-10-2021|false|Amargo Albion
Guerza|27-04-2020|true|Kay Cormack
Monster, gila|17-06-2021|false|Emmi Sarjent
Quoll, spotted-tailed|13-08-2018|false|Annora Saltman
Ring-tailed possum|20-12-2017|true|Bonni Delaney
Black-necked stork|30-05-2020|true|Wylie Yanshonok
Sacred ibis|10-07-2016|true|Byrom Sibbert
Little grebe|05-06-2020|false|Alvira Barrs
Bee-eater (unidentified)|09-02-2019|true|Letizia Gillaspy
Crane, blue|26-11-2018|false|Giraud Timmins
Campo flicker|08-12-2018|false|Hana Rubinsohn
Black kite|09-09-2019|true|Emmit Smythin
Long-billed cockatoo|14-07-2021|false|Merlina Tunesi
Common zorro|18-10-2015|true|Roland Hovard
Squirrel, antelope ground|06-02-2016|true|Susie Klulik
Meerkat|06-10-2015|true|Pansie Lea
Kudu, greater|03-09-2022|true|Parker Tellett
Gerenuk|09-01-2018|true|Dinah Rix
Creeper, black-tailed tree|13-02-2017|true|Codee Hiddersley
Common wallaroo|26-09-2018|true|Melessa Spradbrow
Madagascar fruit bat|07-01-2022|true|Celinka Yetman
Pie, rufous tree|04-09-2022|false|Margaux Pavelin
Moccasin, water|09-01-2021|false|Hillyer Curr
